Date,PROPERTY,PERSON
2008-01-01,190,66
2008-01-02,107,17
2008-01-03,122,13
2008-01-04,140,25
2008-01-05,119,28
2008-01-06,93,32
2008-01-07,110,20
2008-01-08,134,22
2008-01-09,148,17
2008-01-10,108,20
2008-01-11,141,17
2008-01-12,120,30
2008-01-13,97,22
2008-01-14,113,19
2008-01-15,88,23
2008-01-16,118,10
2008-01-17,118,17
2008-01-18,124,26
2008-01-19,117,22
2008-01-20,105,13
2008-01-21,90,19
2008-01-22,93,19
2008-01-23,117,14
2008-01-24,130,14
2008-01-25,129,23
2008-01-26,106,23
2008-01-27,96,16
2008-01-28,91,21
2008-01-29,92,19
2008-01-30,90,22
2008-01-31,102,17
2008-02-01,136,18
2008-02-02,104,36
2008-02-03,94,30
2008-02-04,119,24
2008-02-05,86,10
2008-02-06,89,22
2008-02-07,117,17
2008-02-08,132,24
2008-02-09,132,28
2008-02-10,105,25
2008-02-11,119,11
2008-02-12,106,10
2008-02-13,106,26
2008-02-14,107,33
2008-02-15,122,27
2008-02-16,135,30
2008-02-17,109,29
2008-02-18,113,22
2008-02-19,119,17
2008-02-20,134,26
2008-02-21,131,24
2008-02-22,152,20
2008-02-23,124,34
2008-02-24,93,29
2008-02-25,129,13
2008-02-26,129,27
2008-02-27,126,18
2008-02-28,117,20
2008-02-29,140,21
2008-03-01,167,30
2008-03-02,76,18
2008-03-03,121,32
2008-03-04,102,27
2008-03-05,112,22
2008-03-06,101,15
2008-03-07,141,21
2008-03-08,131,34
2008-03-09,95,25
2008-03-10,107,24
2008-03-11,106,20
2008-03-12,111,23
2008-03-13,107,21
2008-03-14,127,18
2008-03-15,130,14
2008-03-16,106,26
2008-03-17,141,29
2008-03-18,114,31
2008-03-19,118,36
2008-03-20,108,16
2008-03-21,141,17
2008-03-22,102,25
2008-03-23,94,24
2008-03-24,100,20
2008-03-25,98,22
2008-03-26,120,28
2008-03-27,111,18
2008-03-28,150,30
2008-03-29,134,27
2008-03-30,133,22
2008-03-31,120,22
2008-04-01,148,18
2008-04-02,101,28
2008-04-03,114,17
2008-04-04,131,15
2008-04-05,117,26
2008-04-06,97,24
2008-04-07,129,22
2008-04-08,109,15
2008-04-09,103,19
2008-04-10,106,18
2008-04-11,129,25
2008-04-12,128,34
2008-04-13,102,22
2008-04-14,99,15
2008-04-15,119,24
2008-04-16,126,21
2008-04-17,115,16
2008-04-18,119,23
2008-04-19,121,29
2008-04-20,115,26
2008-04-21,133,21
2008-04-22,123,22
2008-04-23,116,25
2008-04-24,156,29
2008-04-25,130,21
2008-04-26,145,33
2008-04-27,98,28
2008-04-28,110,22
2008-04-29,128,17
2008-04-30,106,19
2008-05-01,154,29
2008-05-02,132,34
2008-05-03,117,30
2008-05-04,93,24
2008-05-05,147,17
2008-05-06,119,16
2008-05-07,119,23
2008-05-08,125,14
2008-05-09,173,15
2008-05-10,153,33
2008-05-11,108,22
2008-05-12,129,19
2008-05-13,109,25
2008-05-14,129,16
2008-05-15,139,31
2008-05-16,138,23
2008-05-17,127,39
2008-05-18,91,33
2008-05-19,127,20
2008-05-20,120,24
2008-05-21,114,24
2008-05-22,136,28
2008-05-23,160,16
2008-05-24,134,21
2008-05-25,113,38
2008-05-26,100,18
2008-05-27,146,20
2008-05-28,133,22
2008-05-29,148,18
2008-05-30,137,26
2008-05-31,133,33
2008-06-01,146,46
2008-06-02,122,18
2008-06-03,135,21
2008-06-04,132,19
2008-06-05,142,19
2008-06-06,135,22
2008-06-07,138,29
2008-06-08,117,41
2008-06-09,112,22
2008-06-10,141,11
2008-06-11,151,23
2008-06-12,134,28
2008-06-13,153,30
2008-06-14,143,20
2008-06-15,130,26
2008-06-16,134,32
2008-06-17,160,26
2008-06-18,126,20
2008-06-19,149,23
2008-06-20,145,32
2008-06-21,120,35
2008-06-22,107,34
2008-06-23,147,20
2008-06-24,128,23
2008-06-25,156,23
2008-06-26,130,21
2008-06-27,126,30
2008-06-28,129,36
2008-06-29,118,23
2008-06-30,126,20
2008-07-01,145,23
2008-07-02,120,23
2008-07-03,146,31
2008-07-04,156,29
2008-07-05,147,37
2008-07-06,106,23
2008-07-07,117,23
2008-07-08,140,28
2008-07-09,119,18
2008-07-10,129,21
2008-07-11,126,35
2008-07-12,127,26
2008-07-13,104,33
2008-07-14,147,32
2008-07-15,127,24
2008-07-16,140,38
2008-07-17,139,14
2008-07-18,166,28
2008-07-19,128,34
2008-07-20,131,38
2008-07-21,139,18
2008-07-22,136,25
2008-07-23,135,24
2008-07-24,160,22
2008-07-25,165,25
2008-07-26,139,35
2008-07-27,119,31
2008-07-28,131,21
2008-07-29,121,28
2008-07-30,124,19
2008-07-31,139,26
2008-08-01,175,35
2008-08-02,127,44
2008-08-03,119,34
2008-08-04,126,33
2008-08-05,123,41
2008-08-06,139,31
2008-08-07,107,43
2008-08-08,147,37
2008-08-09,132,29
2008-08-10,119,27
2008-08-11,163,33
2008-08-12,110,28
2008-08-13,116,25
2008-08-14,143,28
2008-08-15,131,26
2008-08-16,119,40
2008-08-17,99,46
2008-08-18,131,18
2008-08-19,117,20
2008-08-20,121,18
2008-08-21,112,27
2008-08-22,167,37
2008-08-23,125,31
2008-08-24,119,34
2008-08-25,130,17
2008-08-26,144,26
2008-08-27,158,32
2008-08-28,133,19
2008-08-29,168,27
2008-08-30,117,45
2008-08-31,121,27
2008-09-01,182,25
2008-09-02,130,31
2008-09-03,138,18
2008-09-04,138,29
2008-09-05,149,33
2008-09-06,150,28
2008-09-07,114,33
2008-09-08,142,27
2008-09-09,146,29
2008-09-10,134,23
2008-09-11,133,21
2008-09-12,174,31
2008-09-13,135,43
2008-09-14,131,31
2008-09-15,177,35
2008-09-16,168,29
2008-09-17,167,20
2008-09-18,137,22
2008-09-19,162,30
2008-09-20,136,35
2008-09-21,118,23
2008-09-22,116,35
2008-09-23,136,26
2008-09-24,141,37
2008-09-25,132,27
2008-09-26,162,39
2008-09-27,160,29
2008-09-28,122,35
2008-09-29,136,40
2008-09-30,139,36
2008-10-01,198,35
2008-10-02,140,29
2008-10-03,142,33
2008-10-04,147,37
2008-10-05,109,27
2008-10-06,111,26
2008-10-07,114,26
2008-10-08,137,21
2008-10-09,151,17
2008-10-10,152,25
2008-10-11,127,27
2008-10-12,142,33
2008-10-13,112,31
2008-10-14,135,25
2008-10-15,150,27
2008-10-16,159,23
2008-10-17,172,34
2008-10-18,130,39
2008-10-19,130,26
2008-10-20,161,17
2008-10-21,131,24
2008-10-22,162,25
2008-10-23,172,22
2008-10-24,174,35
2008-10-25,153,44
2008-10-26,121,26
2008-10-27,166,26
2008-10-28,138,23
2008-10-29,132,33
2008-10-30,149,23
2008-10-31,164,31
2008-11-01,159,40
2008-11-02,145,21
2008-11-03,139,27
2008-11-04,155,26
2008-11-05,121,32
2008-11-06,120,18
2008-11-07,156,22
2008-11-08,160,23
2008-11-09,100,31
2008-11-10,145,21
2008-11-11,111,23
2008-11-12,110,33
2008-11-13,112,27
2008-11-14,147,28
2008-11-15,158,46
2008-11-16,161,42
2008-11-17,131,27
2008-11-18,156,20
2008-11-19,130,21
2008-11-20,169,20
2008-11-21,145,30
2008-11-22,130,30
2008-11-23,103,26
2008-11-24,159,23
2008-11-25,132,20
2008-11-26,172,21
2008-11-27,106,27
2008-11-28,138,19
2008-11-29,137,24
2008-11-30,126,38
2008-12-01,180,33
2008-12-02,130,16
2008-12-03,128,32
2008-12-04,114,20
2008-12-05,155,31
2008-12-06,126,31
2008-12-07,127,24
2008-12-08,131,31
2008-12-09,142,27
2008-12-10,126,27
2008-12-11,126,25
2008-12-12,130,33
2008-12-13,118,24
2008-12-14,107,28
2008-12-15,142,21
2008-12-16,121,22
2008-12-17,114,17
2008-12-18,73,27
2008-12-19,103,24
2008-12-20,102,23
2008-12-21,85,33
2008-12-22,82,16
2008-12-23,106,17
2008-12-24,91,22
2008-12-25,53,24
2008-12-26,84,18
2008-12-27,112,20
2008-12-28,126,27
2008-12-29,115,22
2008-12-30,145,32
2008-12-31,148,40
2009-01-01,171,54
2009-01-02,127,28
2009-01-03,116,30
2009-01-04,106,33
2009-01-05,142,16
2009-01-06,123,30
2009-01-07,122,14
2009-01-08,136,17
2009-01-09,169,38
2009-01-10,153,32
2009-01-11,117,39
2009-01-12,127,25
2009-01-13,148,29
2009-01-14,129,19
2009-01-15,143,17
2009-01-16,145,24
2009-01-17,117,21
2009-01-18,154,27
2009-01-19,137,21
2009-01-20,165,30
2009-01-21,96,20
2009-01-22,125,31
2009-01-23,142,29
2009-01-24,147,30
2009-01-25,94,34
2009-01-26,122,16
2009-01-27,157,17
2009-01-28,140,20
2009-01-29,116,20
2009-01-30,185,30
2009-01-31,140,26
2009-02-01,164,22
2009-02-02,146,20
2009-02-03,111,24
2009-02-04,148,26
2009-02-05,117,22
2009-02-06,118,29
2009-02-07,122,32
2009-02-08,101,23
2009-02-09,133,19
2009-02-10,96,23
2009-02-11,110,21
2009-02-12,111,17
2009-02-13,141,34
2009-02-14,106,31
2009-02-15,94,21
2009-02-16,112,23
2009-02-17,122,21
2009-02-18,138,22
2009-02-19,127,22
2009-02-20,127,21
2009-02-21,125,22
2009-02-22,85,31
2009-02-23,119,19
2009-02-24,113,20
2009-02-25,122,20
2009-02-26,91,17
2009-02-27,125,34
2009-02-28,109,33
2009-03-01,134,33
2009-03-02,101,21
2009-03-03,109,21
2009-03-04,113,34
2009-03-05,111,29
2009-03-06,152,37
2009-03-07,114,21
2009-03-08,108,21
2009-03-09,102,29
2009-03-10,129,20
2009-03-11,124,22
2009-03-12,142,27
2009-03-13,137,28
2009-03-14,135,25
2009-03-15,121,28
2009-03-16,105,15
2009-03-17,117,29
2009-03-18,121,24
2009-03-19,135,25
2009-03-20,116,29
2009-03-21,122,26
2009-03-22,86,24
2009-03-23,128,24
2009-03-24,131,19
2009-03-25,120,18
2009-03-26,138,18
2009-03-27,112,25
2009-03-28,118,27
2009-03-29,99,30
2009-03-30,129,18
2009-03-31,131,23
2009-04-01,156,26
2009-04-02,117,20
2009-04-03,111,14
2009-04-04,112,34
2009-04-05,86,21
2009-04-06,140,30
2009-04-07,141,25
2009-04-08,145,24
2009-04-09,127,28
2009-04-10,147,34
2009-04-11,132,38
2009-04-12,100,24
2009-04-13,135,17
2009-04-14,134,16
2009-04-15,133,24
2009-04-16,130,21
2009-04-17,134,23
2009-04-18,119,34
2009-04-19,115,26
2009-04-20,113,29
2009-04-21,104,33
2009-04-22,113,19
2009-04-23,122,27
2009-04-24,137,34
2009-04-25,143,23
2009-04-26,103,34
2009-04-27,98,30
2009-04-28,114,28
2009-04-29,136,20
2009-04-30,121,17
2009-05-01,150,40
2009-05-02,99,36
2009-05-03,103,31
2009-05-04,123,12
2009-05-05,128,34
2009-05-06,113,20
2009-05-07,116,19
2009-05-08,114,37
2009-05-09,105,27
2009-05-10,107,32
2009-05-11,133,23
2009-05-12,121,21
2009-05-13,124,20
2009-05-14,113,29
2009-05-15,165,27
2009-05-16,148,37
2009-05-17,102,36
2009-05-18,148,26
2009-05-19,146,22
2009-05-20,106,31
2009-05-21,116,27
2009-05-22,174,28
2009-05-23,134,36
2009-05-24,129,28
2009-05-25,131,20
2009-05-26,135,20
2009-05-27,143,31
2009-05-28,141,18
2009-05-29,156,33
2009-05-30,135,29
2009-05-31,92,32
2009-06-01,143,37
2009-06-02,100,27
2009-06-03,104,27
2009-06-04,125,40
2009-06-05,130,28
2009-06-06,129,26
2009-06-07,105,30
2009-06-08,144,24
2009-06-09,135,21
2009-06-10,117,25
2009-06-11,138,32
2009-06-12,136,35
2009-06-13,132,37
2009-06-14,129,26
2009-06-15,151,24
2009-06-16,136,30
2009-06-17,131,31
2009-06-18,138,27
2009-06-19,150,27
2009-06-20,140,37
2009-06-21,93,22
2009-06-22,123,17
2009-06-23,154,36
2009-06-24,147,18
2009-06-25,146,24
2009-06-26,126,27
2009-06-27,126,24
2009-06-28,128,21
2009-06-29,133,26
2009-06-30,103,26
2009-07-01,128,23
2009-07-02,130,31
2009-07-03,119,31
2009-07-04,129,43
2009-07-05,101,50
2009-07-06,117,18
2009-07-07,109,27
2009-07-08,136,15
2009-07-09,150,22
2009-07-10,151,27
2009-07-11,122,44
2009-07-12,111,31
2009-07-13,147,27
2009-07-14,135,37
2009-07-15,166,26
2009-07-16,141,29
2009-07-17,131,22
2009-07-18,149,26
2009-07-19,107,35
2009-07-20,118,28
2009-07-21,131,27
2009-07-22,140,26
2009-07-23,159,23
2009-07-24,159,33
2009-07-25,142,44
2009-07-26,118,25
2009-07-27,107,39
2009-07-28,137,43
2009-07-29,118,33
2009-07-30,137,17
2009-07-31,144,40
2009-08-01,172,51
2009-08-02,101,34
2009-08-03,126,28
2009-08-04,122,24
2009-08-05,139,26
2009-08-06,134,28
2009-08-07,135,32
2009-08-08,144,30
2009-08-09,111,26
2009-08-10,112,17
2009-08-11,154,17
2009-08-12,132,30
2009-08-13,119,23
2009-08-14,160,29
2009-08-15,137,33
2009-08-16,121,39
2009-08-17,143,26
2009-08-18,132,31
2009-08-19,136,23
2009-08-20,164,26
2009-08-21,169,25
2009-08-22,146,36
2009-08-23,135,20
2009-08-24,138,15
2009-08-25,141,20
2009-08-26,125,25
2009-08-27,134,25
2009-08-28,163,37
2009-08-29,112,38
2009-08-30,138,37
2009-08-31,127,25
2009-09-01,154,23
2009-09-02,126,31
2009-09-03,133,25
2009-09-04,145,27
2009-09-05,142,39
2009-09-06,89,31
2009-09-07,119,26
2009-09-08,159,12
2009-09-09,155,26
2009-09-10,163,24
2009-09-11,156,24
2009-09-12,168,26
2009-09-13,141,36
2009-09-14,154,30
2009-09-15,164,24
2009-09-16,135,25
2009-09-17,137,23
2009-09-18,167,25
2009-09-19,132,42
2009-09-20,145,30
2009-09-21,146,22
2009-09-22,127,26
2009-09-23,149,21
2009-09-24,157,22
2009-09-25,147,25
2009-09-26,158,35
2009-09-27,147,24
2009-09-28,149,27
2009-09-29,155,22
2009-09-30,159,33
2009-10-01,138,25
2009-10-02,157,33
2009-10-03,128,29
2009-10-04,114,31
2009-10-05,127,18
2009-10-06,129,25
2009-10-07,111,18
2009-10-08,137,21
2009-10-09,132,20
2009-10-10,145,27
